txno,    txndate,   custno, amount,      category,       product,                 city,     state,     spendby
740,06-22-2011,4003754,156.94,Exercise & Fitness,Cardio Machines,Durham,North Carolina,credit
741,08-04-2011,4003153,27.46,Gymnastics,Gymnastics Mats,McKinney,Texas,cash
742,11-17-2011,4000405,99.1,Team Sports,Hockey,Everett,Washington,credit
743,01-18-2011,4002696,66.83,Combat Sports,Fencing,Gilbert,Arizona,credit
744,11-04-2011,4002943,156.81,Team Sports,Soccer,San Jose,California,credit
745,05-17-2011,4009339,112.07,Games,Dice Games,Santa Ana,California,credit
746,08-26-2011,4008757,5.19,Exercise & Fitness,Weightlifting Gloves,McKinney,Texas,cash
747,01-24-2011,4006724,179.37,Combat Sports,Fencing,Hampton  ,Virginia,credit
748,02-01-2011,4001658,120.56,Winter Sports,Snowshoeing,Newark,New Jersey,credit
749,07-23-2011,4000377,176.67,Winter Sports,Snowmobiling,Lexington,Kentucky,credit
750,01-22-2011,4005321,120.82,Outdoor Recreation,Skateboarding,Columbia,Missouri,credit
751,06-29-2011,4009478,93.42,Exercise & Fitness,Weight Benches,Los Angeles,California,credit
752,11-28-2011,4008160,174.89,Winter Sports,Snowboarding,Fremont,California,credit
753,12-03-2011,4001420,18.7,Puzzles,Jigsaw Puzzles,San Francisco,California,cash
754,03-25-2011,4009826,17.62,Water Sports,Bodyboarding,San Jose,California,cash
755,09-02-2011,4009695,115.18,Outdoor Play Equipment,Playhouses,Reno,Nevada,credit
756,06-16-2011,4004424,103.99,Indoor Games,Table Shuffleboard,Overland Park,Kansas,credit
757,09-06-2011,4005228,59.63,Team Sports,Team Handball,El Paso,Texas,credit
758,02-05-2011,4006665,42.35,Outdoor Recreation,Skating,Baltimore,Maryland,cash
759,08-06-2011,4003847,64.52,Combat Sports,Martial Arts,Colorado Springs,Colorado,credit
760,07-27-2011,4005749,156.7,Racquet Sports,Squash,Sunnyvale,California,credit
761,10-15-2011,4001159,148.41,Winter Sports,Snowshoeing,Madison,Wisconsin,credit
762,10-03-2011,4009584,124.06,Water Sports,Windsurfing,Nashville  ,Tennessee,credit
763,07-28-2011,4007187,174.64,Indoor Games,Foosball,Charleston,South Carolina,credit
764,09-11-2011,4004498,50.44,Water Sports,Scuba Diving & Snorkeling,Paterson,New Jersey,credit
765,01-23-2011,4001131,141.21,Outdoor Recreation,Tetherball,Gilbert,Arizona,credit
766,01-10-2011,4002182,109.4,Air Sports,Parachutes,Stamford,Connecticut,credit
767,01-21-2011,4007103,176.49,Outdoor Recreation,Deck Shuffleboard,Washington,District of Columbia,credit
768,05-26-2011,4009972,186.44,Dancing,Ballet Bars,Salem,Oregon,credit
769,10-07-2011,4009288,94.1,Outdoor Play Equipment,Lawn Water Slides,Denton,Texas,credit
770,09-06-2011,4008108,180.41,Outdoor Recreation,Track & Field,Coral Springs,Florida,credit
771,06-19-2011,4000761,118.24,Outdoor Recreation,Lawn Games,Lexington,Kentucky,credit
772,04-16-2011,4009766,97.89,Outdoor Recreation,Track & Field,Phoenix,Arizona,credit
773,12-18-2011,4007435,108.5,Jumping,Trampolines,Durham,North Carolina,credit
774,12-22-2011,4005411,60.31,Outdoor Play Equipment,Sandboxes,Reno,Nevada,credit
775,11-07-2011,4003522,194.09,Racquet Sports,Badminton,Richmond  ,Virginia,credit
776,02-04-2011,4007298,56.06,Games,Bingo Sets,Denver  ,Colorado,credit
777,01-12-2011,4004502,176.92,Jumping,Pogo Sticks,West Valley City,Utah,credit
778,04-08-2011,4006179,62.37,Combat Sports,Fencing,Bellevue,Washington,credit
779,11-14-2011,4003294,92.22,Outdoor Play Equipment,Slides,Miami,Florida,credit
780,03-30-2011,4001028,49.21,Outdoor Recreation,Skateboarding,Huntsville,Alabama,cash
781,10-01-2011,4003064,154.68,Water Sports,Kitesurfing,Gilbert,Arizona,credit
782,09-03-2011,4002687,180.14,Indoor Games,Bowling,Cincinnati,Ohio,credit
783,12-22-2011,4000805,5.35,Combat Sports,Fencing,Columbia,Missouri,cash
784,02-20-2011,4002002,94.45,Indoor Games,Air Hockey,St. Petersburg,Florida,credit
785,10-20-2011,4003199,10.43,Indoor Games,Darts,Columbus,Georgia,cash
786,07-25-2011,4000235,118.96,Exercise & Fitness,Weightlifting Gloves,Chattanooga,Tennessee,credit
787,07-15-2011,4006112,17.86,Winter Sports,Downhill Skiing,Seattle,Washington,cash
788,08-02-2011,4005816,189.58,Games,Poker Chips & Sets,Orlando,Florida,credit
789,09-09-2011,4007398,6.21,Jumping,Trampoline Accessories,Irvine,California,cash
790,08-30-2011,4003727,29.45,Jumping,Jumping Stilts,Baltimore,Maryland,cash
791,06-19-2011,4008771,31.52,Team Sports,Softball,Durham,North Carolina,cash
792,08-19-2011,4006510,169.65,Team Sports,Softball,Reno,Nevada,credit
793,01-18-2011,4002371,9.66,Team Sports,Soccer,Richmond  ,Virginia,cash
794,04-10-2011,4000988,32.18,Water Sports,Boating,Chattanooga,Tennessee,cash
795,12-16-2011,4008303,192.07,Jumping,Pogo Sticks,Westminster,Colorado,credit
796,02-06-2011,4005307,137.12,Outdoor Recreation,Running,Dallas,Texas,credit
797,09-02-2011,4008869,63.5,Outdoor Recreation,Tetherball,Flint,Michigan,credit
798,11-07-2011,4008753,125.58,Combat Sports,Martial Arts,Lexington,Kentucky,credit
799,03-05-2011,4000815,121.83,Indoor Games,Billiards,Reno,Nevada,credit
800,09-02-2011,4009137,9.01,Games,Dice & Dice Sets,Colorado Springs,Colorado,credit
801,10-30-2011,4004054,99.22,Exercise & Fitness,Stopwatches,Coral Springs,Florida,credit
802,09-24-2011,4004528,20.34,Racquet Sports,Badminton,Kansas City,Kansas,credit
803,01-17-2011,4007314,193.32,Team Sports,Rugby,Paterson,New Jersey,credit
804,04-17-2011,4006677,66.2,Exercise & Fitness,Exercise Balls,Richmond  ,Virginia,credit
805,03-22-2011,4000072,103.62,Water Sports,Towed Water Sports,Everett,Washington,credit
806,04-27-2011,4001365,8.1,Jumping,Pogo Sticks,Atlanta,Georgia,credit
807,11-18-2011,4008471,96.37,Team Sports,Baseball,Alexandria  ,Virginia,credit
808,12-25-2011,4009395,131.43,Exercise & Fitness,Weightlifting Belts,Lexington,Kentucky,credit
809,05-10-2011,4007536,63.83,Winter Sports,Snowshoeing,Gilbert,Arizona,credit
810,07-09-2011,4003222,180.84,Combat Sports,Boxing,Houston,Texas,credit
811,03-02-2011,4003783,60.86,Water Sports,Wetsuits,Westminster,Colorado,credit
812,12-03-2011,4006383,111.66,Gymnastics,Gymnastics Rings,New Orleans,Louisiana,credit
813,05-09-2011,4005925,12.71,Water Sports,Towed Water Sports,San Diego,California,credit
814,05-27-2011,4008287,14.03,Exercise & Fitness,Weightlifting Machines,Los Angeles,California,credit
815,09-02-2011,4008388,79.39,Exercise & Fitness,Free Weight Bars,Fremont,California,credit
816,09-29-2011,4004751,199.07,Water Sports,Scuba Diving & Snorkeling,Detroit,Michigan,credit
817,11-01-2011,4006279,182.88,Outdoor Recreation,Motorsports,Omaha,Nebraska,credit
818,05-26-2011,4009682,57.51,Gymnastics,Gymnastics Mats,Miami,Florida,credit
819,02-16-2011,4006938,158.49,Water Sports,Swimming,Lowell,Massachusetts,credit
820,08-21-2011,4008714,50.98,Combat Sports,Martial Arts,Eugene,Oregon,credit
821,02-03-2011,4008368,44.18,Gymnastics,Gymnastics Bars,Baltimore,Maryland,credit
822,06-22-2011,4002351,96.85,Games,Dominoes,Montgomery,Alabama,credit
823,09-09-2011,4000669,178.77,Exercise & Fitness,Weight Benches,Oklahoma City,Oklahoma,credit
824,09-19-2011,4002094,30.18,Racquet Sports,Squash,Lexington,Kentucky,credit
825,09-18-2011,4001121,59.77,Jumping,Pogo Sticks,Stamford,Connecticut,credit
826,08-06-2011,4006249,175.9,Team Sports,Softball,Long Beach,California,credit
827,11-02-2011,4006107,83.5,Team Sports,Indoor Volleyball,Montgomery,Alabama,credit
828,07-05-2011,4001540,45.13,Games,Portable Electronic Games,Dallas,Texas,credit
829,10-12-2011,4002191,97.77,Indoor Games,Darts,Memphis,Tennessee,credit
830,01-20-2011,4009368,187.43,Winter Sports,Downhill Skiing,San Diego,California,credit
831,09-23-2011,4003989,91.55,Winter Sports,Snowshoeing,Chattanooga,Tennessee,credit
832,03-16-2011,4000636,177.89,Gymnastics,Pommel Horses,Lowell,Massachusetts,credit
833,11-14-2011,4008949,40.32,Outdoor Play Equipment,Playhouses,Kansas City,Kansas,credit
834,08-31-2011,4001641,123.87,Gymnastics,Vaulting Horses,Detroit,Michigan,credit
835,09-06-2011,4000819,149.5,Combat Sports,Martial Arts,Miami,Florida,credit
836,07-05-2011,4008285,147.71,Outdoor Recreation,Shooting Games,Colorado Springs,Colorado,credit
837,06-22-2011,4004947,98.11,Combat Sports,Fencing,Columbus,Georgia,credit
838,01-16-2011,4005914,13.36,Team Sports,Indoor Volleyball,Coral Springs,Florida,credit
839,03-16-2011,4002897,43.66,Exercise & Fitness,Exercise Balls,New York,New York,credit
840,05-27-2011,4009777,199.17,Puzzles,Jigsaw Puzzles,San Francisco,California,credit
841,11-07-2011,4001805,108.42,Water Sports,Life Jackets,Gresham,Oregon,credit
842,05-28-2011,4009803,88.7,Games,Card Games,Centennial,Colorado,credit
843,11-12-2011,4002891,51.28,Indoor Games,Billiards,Vancouver,Washington,credit
844,04-11-2011,4004229,45.5,Gymnastics,Springboards,Las Vegas,Nevada,cash
845,01-04-2011,4008311,90.36,Indoor Games,Billiards,St. Petersburg,Florida,credit
846,04-06-2011,4005547,47.4,Water Sports,Water Tubing,Stamford,Connecticut,cash
847,07-01-2011,4009161,36.34,Dancing,Ballet Bars,Anaheim,California,cash
848,03-03-2011,4000306,196.29,Winter Sports,Cross-Country Skiing,Hartford,Connecticut,credit
849,03-30-2011,4008119,165.71,Exercise & Fitness,Medicine Balls,Chicago,Illinois,credit
850,08-04-2011,4009408,135.27,Indoor Games,Foosball,Memphis,Tennessee,credit
851,04-10-2011,4004800,92.86,Games,Poker Chips & Sets,Vancouver,Washington,credit
852,09-01-2011,4006272,152.5,Air Sports,Air Suits,Austin,Texas,credit
853,08-04-2011,4007985,84.12,Water Sports,Water Polo,Seattle,Washington,credit
854,08-12-2011,4001722,38.96,Outdoor Recreation,Motorsports,El Paso,Texas,cash
855,10-09-2011,4001105,74.85,Gymnastics,Gymnastics Protective Gear,Pasadena,California,credit
856,04-29-2011,4001009,147.4,Games,Dice & Dice Sets,Brownsville,Texas,credit
857,09-25-2011,4003262,190.89,Water Sports,Towed Water Sports,Centennial,Colorado,credit
858,06-28-2011,4006861,139.2,Indoor Games,Air Hockey,Hartford,Connecticut,credit
859,07-29-2011,4001263,74.35,Outdoor Play Equipment,Sandboxes,Sunnyvale,California,credit
860,11-27-2011,4001558,158.28,Indoor Games,Table Shuffleboard,Saint Paul,Minnesota,credit
861,12-20-2011,4006839,115.5,Exercise & Fitness,Foam Rollers,Rockford,Illinois,credit
862,07-05-2011,4004896,16.83,Winter Sports,Cross-Country Skiing,Pasadena,Texas,cash
863,08-22-2011,4005485,9.4,Indoor Games,Darts,Oklahoma City,Oklahoma,cash
864,12-11-2011,4002923,171.23,Outdoor Recreation,Track & Field,Long Beach,California,credit
865,06-30-2011,4007854,188.12,Exercise & Fitness,Weightlifting Belts,Portland,Oregon,credit
866,05-25-2011,4009595,22.02,Water Sports,Wetsuits,Nashville  ,Tennessee,cash
867,08-21-2011,4001286,146.49,Water Sports,Water Polo,Fremont,California,credit
868,06-05-2011,4006662,150.05,Gymnastics,Gymnastics Mats,Durham,North Carolina,credit
869,07-17-2011,4005749,71.29,Jumping,Pogo Sticks,Gilbert,Arizona,credit
870,05-26-2011,4002234,119.65,Water Sports,Life Jackets,Centennial,Colorado,credit
871,05-11-2011,4007041,6.5,Outdoor Recreation,Archery,El Paso,Texas,cash
872,04-13-2011,4009040,44.86,Combat Sports,Martial Arts,Charlotte,North Carolina,cash
873,11-23-2011,4007691,77.44,Outdoor Recreation,Motorsports,Clarksville,Tennessee,credit
874,09-12-2011,4003582,179.55,Outdoor Play Equipment,Swing Sets,Paterson,New Jersey,credit
875,06-27-2011,4006749,190.73,Water Sports,Whitewater Rafting,Alexandria  ,Virginia,credit
876,08-15-2011,4002710,116.78,Dancing,Ballet Bars,Honolulu  ,Hawaii,credit
877,12-14-2011,4001532,37.49,Exercise & Fitness,Abdominal Equipment,Plano,Texas,cash
878,07-19-2011,4001370,144.65,Outdoor Recreation,Hunting,Atlanta,Georgia,credit
879,06-10-2011,4001542,183.1,Jumping,Jumping Stilts,Kansas City,Missouri,credit
880,04-08-2011,4001747,47.15,Outdoor Recreation,Ice Climbing,San Antonio,Texas,cash
881,09-17-2011,4008160,119.3,Team Sports,Field Hockey,Denton,Texas,credit
882,03-14-2011,4009862,93.38,Outdoor Recreation,Geocaching,Sacramento,California,credit
883,04-30-2011,4007534,181.3,Team Sports,Basketball,Sacramento,California,credit
884,03-02-2011,4002692,127.29,Exercise & Fitness,Foam Rollers,Louisville,Kentucky,credit
885,01-22-2011,4001691,33.59,Puzzles,Mechanical Puzzles,Midland,Texas,cash
886,05-24-2011,4006438,143.95,Outdoor Recreation,Deck Shuffleboard,Cleveland,Ohio,credit
887,10-23-2011,4009773,129.28,Outdoor Recreation,Equestrian,Oklahoma City,Oklahoma,credit
888,10-24-2011,4007161,179.3,Gymnastics,Gymnastics Rings,Santa Ana,California,credit
889,04-28-2011,4006832,173.53,Racquet Sports,Racquetball,Orlando,Florida,credit
890,08-29-2011,4007021,183.85,Jumping,Bungee Jumping,Hartford,Connecticut,credit
891,06-11-2011,4001989,134.71,Team Sports,Soccer,Everett,Washington,credit
892,08-04-2011,4003233,13.27,Team Sports,Indoor Volleyball,Nashville  ,Tennessee,cash
893,04-07-2011,4000974,187.43,Exercise & Fitness,Foam Rollers,Jackson,Mississippi,credit
894,02-12-2011,4005280,131.13,Exercise & Fitness,Jump Ropes,Atlanta,Georgia,credit
895,12-01-2011,4007839,69.24,Combat Sports,Wrestling,Colorado Springs,Colorado,credit
896,03-25-2011,4009778,127.58,Exercise & Fitness,Jump Ropes,Salem,Oregon,credit
897,08-04-2011,4007095,42.35,Gymnastics,Gymnastics Bars,Oakland,California,cash
898,11-11-2011,4006877,117.04,Outdoor Play Equipment,Water Tables,Richmond  ,Virginia,credit
899,12-05-2011,4004818,55.59,Exercise & Fitness,Medicine Balls,Memphis,Tennessee,credit
900,04-10-2011,4005697,166.47,Gymnastics,Gymnastics Mats,Saint Paul,Minnesota,credit
901,09-05-2011,4003537,114.55,Gymnastics,Vaulting Horses,Atlanta,Georgia,credit
902,04-08-2011,4005131,130.09,Outdoor Play Equipment,Slides,Charlotte,North Carolina,credit
903,06-04-2011,4004671,193.99,Water Sports,Windsurfing,Lowell,Massachusetts,credit
904,07-17-2011,4005395,42.14,Water Sports,Surfing,San Antonio,Texas,credit
905,05-14-2011,4007681,75.39,Water Sports,Surfing,Las Vegas,Nevada,credit
906,08-09-2011,4004592,86.7,Games,Dominoes,Stamford,Connecticut,credit
907,08-02-2011,4000899,141.76,Exercise & Fitness,Yoga & Pilates,Clarksville,Tennessee,credit
908,01-10-2011,4001441,38.58,Outdoor Recreation,Shooting Games,Pittsburgh,Pennsylvania,credit
909,07-18-2011,4008327,19.39,Air Sports,Parachutes,Pasadena,Texas,credit
910,08-09-2011,4000815,91.33,Jumping,Trampoline Accessories,Eugene,Oregon,credit
911,05-29-2011,4000427,12.86,Games,Bingo Sets,Oklahoma City,Oklahoma,credit
912,07-26-2011,4005741,109.62,Team Sports,Curling,Irving,Texas,credit
913,11-05-2011,4007055,93.56,Outdoor Recreation,Shooting Games,New Orleans,Louisiana,credit
914,06-05-2011,4005337,136.06,Dancing,Ballet Bars,St. Louis  ,Missouri,credit
915,06-09-2011,4001585,194.99,Combat Sports,Martial Arts,Berkeley,California,credit
916,12-20-2011,4002204,145.6,Outdoor Play Equipment,Sandboxes,Vancouver,Washington,credit
917,11-13-2011,4001039,39.54,Exercise & Fitness,Exercise Balls,Denton,Texas,credit
918,06-10-2011,4000480,30.07,Gymnastics,Springboards,Hartford,Connecticut,credit
919,03-08-2011,4007188,9.89,Outdoor Recreation,Golf,Austin,Texas,credit
920,12-16-2011,4001582,65.8,Exercise & Fitness,Cardio Machine Accessories,Lexington,Kentucky,credit
921,03-27-2011,4001940,197.54,Team Sports,Field Hockey,Rockford,Illinois,credit
922,01-08-2011,4009051,42.97,Exercise & Fitness,Weightlifting Belts,Brownsville,Texas,credit
923,09-16-2011,4008385,157.79,Team Sports,Cricket,Houston,Texas,credit
924,05-14-2011,4000865,167.62,Gymnastics,Gymnastics Mats,Scottsdale,Arizona,credit
925,04-17-2011,4002412,58.16,Water Sports,Swimming,Detroit,Michigan,credit
926,03-09-2011,4007518,9.12,Outdoor Play Equipment,Outdoor Playsets,Alexandria  ,Virginia,credit
927,02-24-2011,4005821,139.56,Outdoor Play Equipment,Lawn Water Slides,Jackson,Mississippi,credit
928,08-22-2011,4003408,38.61,Winter Sports,Bobsledding,Seattle,Washington,credit
929,05-26-2011,4000121,55.01,Jumping,Trampolines,Colorado Springs,Colorado,credit
930,08-05-2011,4007997,195.81,Exercise & Fitness,Yoga & Pilates,Columbus,Georgia,credit
931,03-19-2011,4002857,40.31,Indoor Games,Bowling,Milwaukee,Wisconsin,credit
932,07-16-2011,4008377,18.45,Games,Mahjong,Lexington,Kentucky,credit
933,07-17-2011,4002647,113.18,Outdoor Play Equipment,Water Tables,Sacramento,California,credit
934,11-16-2011,4005448,28.06,Outdoor Play Equipment,Sandboxes,St. Louis  ,Missouri,credit
935,04-21-2011,4005063,80.46,Winter Sports,Snowshoeing,Centennial,Colorado,credit
936,04-12-2011,4003689,65.17,Games,Dice Games,Jacksonville ,Florida,credit
937,07-08-2011,4000350,134.92,Jumping,Pogo Sticks,Philadelphia,Pennsylvania,credit
938,08-19-2011,4000403,36.21,Jumping,Trampolines,Pasadena,California,credit
939,06-22-2011,4008821,85.03,Outdoor Recreation,Track & Field,Nashville  ,Tennessee,credit
940,02-26-2011,4001407,83.3,Exercise & Fitness,Free Weights,San Jose,California,credit
941,01-15-2011,4004714,20.78,Gymnastics,Gymnastics Protective Gear,Springfield,Illinois,cash
942,11-18-2011,4004732,124.39,Indoor Games,Table Shuffleboard,Vancouver,Washington,credit
943,05-07-2011,4009348,168.97,Water Sports,Whitewater Rafting,Alexandria  ,Virginia,credit
944,09-30-2011,4004354,160.71,Gymnastics,Gymnastics Bars,Denver  ,Colorado,credit
945,11-11-2011,4001437,20.52,Team Sports,Cricket,Santa Ana,California,cash
946,11-01-2011,4001648,53.35,Indoor Games,Billiards,Chattanooga,Tennessee,credit
947,01-24-2011,4003764,115.88,Games,Dice Games,Atlanta,Georgia,credit
948,06-05-2011,4007690,186.75,Exercise & Fitness,Foam Rollers,Washington,District of Columbia,credit
949,07-08-2011,4007021,194.45,Exercise & Fitness,Jump Ropes,Charlotte,North Carolina,credit
950,01-27-2011,4006461,65.67,Exercise & Fitness,Jump Ropes,St. Louis  ,Missouri,credit
951,06-18-2011,4004085,33.9,Games,Bingo Sets,Nashville  ,Tennessee,cash
952,10-11-2011,4006842,135.58,Combat Sports,Boxing,Montgomery,Alabama,credit
953,04-06-2011,4005240,96.91,Winter Sports,Cross-Country Skiing,Lexington,Kentucky,credit
954,03-19-2011,4002858,103.46,Exercise & Fitness,Free Weights,West Valley City,Utah,credit
955,12-20-2011,4008662,187.1,Exercise & Fitness,Cardio Machines,Salt Lake City,Utah,credit
956,01-09-2011,4003459,21.38,Team Sports,Team Handball,San Diego,California,cash
957,09-15-2011,4009784,34.5,Jumping,Pogo Sticks,Montgomery,Alabama,cash
958,02-14-2011,4008983,10.73,Combat Sports,Martial Arts,Denton,Texas,cash
959,03-27-2011,4000183,191.74,Water Sports,Bodyboarding,Boise,Idaho,credit
960,02-24-2011,4006798,160.65,Exercise & Fitness,Yoga & Pilates,Sacramento,California,credit
961,11-04-2011,4004655,87.26,Indoor Games,Billiards,Jackson,Mississippi,credit
962,07-17-2011,4003882,136.87,Games,Dominoes,Plano,Texas,credit
963,12-11-2011,4004714,15.77,Outdoor Play Equipment,Lawn Water Slides,Pittsburgh,Pennsylvania,cash
964,10-05-2011,4001866,112.07,Outdoor Recreation,Golf,Jackson,Mississippi,credit
965,06-01-2011,4004523,61.86,Water Sports,Towed Water Sports,Las Vegas,Nevada,credit
966,10-11-2011,4006746,56.57,Outdoor Recreation,Fishing,Centennial,Colorado,credit
967,04-16-2011,4004143,15.99,Outdoor Recreation,Fishing,Midland,Texas,cash
968,03-09-2011,4006637,9.82,Team Sports,Cheerleading,Tampa,Florida,cash
969,02-12-2011,4005776,50.98,Team Sports,Rugby,Reno,Nevada,credit
970,09-26-2011,4006089,103.61,Gymnastics,Pommel Horses,Anaheim,California,credit
971,03-06-2011,4008392,190.87,Outdoor Recreation,Skateboarding,Centennial,Colorado,credit
972,05-09-2011,4004964,98.73,Team Sports,Softball,Boise,Idaho,credit
973,08-22-2011,4003395,173.58,Indoor Games,Air Hockey,Honolulu  ,Hawaii,credit
974,03-23-2011,4002349,146.37,Exercise & Fitness,Free Weights,Green Bay,Wisconsin,credit
975,08-11-2011,4005351,167.62,Team Sports,Beach Volleyball,Lincoln,Nebraska,credit
976,05-29-2011,4005883,27.39,Outdoor Recreation,Deck Shuffleboard,Milwaukee,Wisconsin,cash
977,07-12-2011,4005463,145.66,Exercise & Fitness,Stopwatches,San Francisco,California,credit
978,10-15-2011,4003224,147.5,Gymnastics,Gymnastics Protective Gear,Atlanta,Georgia,credit
979,10-03-2011,4008604,10.5,Racquet Sports,Tennis,Salem,Oregon,cash
980,10-08-2011,4005224,139.86,Games,Mahjong,San Francisco,California,credit
981,06-15-2011,4004453,96.29,Gymnastics,Gymnastics Protective Gear,Irving,Texas,credit
982,11-21-2011,4009368,107.97,Exercise & Fitness,Weightlifting Machines,Berkeley,California,credit
983,08-08-2011,4004498,72.76,Air Sports,Parachutes,Madison,Wisconsin,credit
984,07-27-2011,4008930,91.69,Outdoor Recreation,Geocaching,Philadelphia,Pennsylvania,credit
985,12-29-2011,4000434,183.26,Games,Card Games,Baltimore,Maryland,credit
986,05-10-2011,4004243,102.12,Gymnastics,Gymnastics Protective Gear,Irving,Texas,credit
987,09-25-2011,4000966,107.38,Gymnastics,Gymnastics Mats,Dayton,Ohio,credit
988,01-19-2011,4002377,172.51,Exercise & Fitness,Jump Ropes,Huntsville,Alabama,credit
989,10-30-2011,4004606,167.56,Combat Sports,Wrestling,Colorado Springs,Colorado,credit
990,05-07-2011,4007519,30.56,Winter Sports,Bobsledding,Cleveland,Ohio,cash
991,05-19-2011,4005070,192.11,Team Sports,Rugby,Lincoln,Nebraska,credit
992,06-21-2011,4006621,109.97,Water Sports,Windsurfing,Philadelphia,Pennsylvania,credit
993,01-31-2011,4001235,60.13,Winter Sports,Sledding,Centennial,Colorado,credit
994,02-26-2011,4001202,81.22,Winter Sports,Bobsledding,Portland,Oregon,credit
995,10-08-2011,4004942,131.76,Team Sports,Beach Volleyball,Hampton  ,Virginia,credit
996,07-21-2011,4003267,198.15,Exercise & Fitness,Weight Benches,Columbia,South Carolina,credit
997,09-10-2011,4008281,38.98,Team Sports,Cricket,Reno,Nevada,cash
998,02-02-2011,4009725,66.44,Outdoor Recreation,Fishing,Boise,Idaho,credit
999,11-09-2011,4000057,155.54,Indoor Games,Air Hockey,Portland,Oregon,credit
1000,04-02-2011,4009213,168.62,Outdoor Recreation,Camping & Backpacking & Hiking,Irving,Texas,credit
1001,10-27-2011,4008603,43.69,Exercise & Fitness,Weightlifting Belts,Flint,Michigan,credit
1002,09-16-2011,4000708,104.41,Puzzles,Jigsaw Puzzles,Philadelphia,Pennsylvania,credit
1003,08-22-2011,4008810,139.59,Outdoor Recreation,Skating,New Orleans,Louisiana,credit
1004,12-28-2011,4004805,132.8,Outdoor Play Equipment,Water Tables,Alexandria  ,Virginia,credit
1005,10-13-2011,4005034,158.33,Team Sports,Cricket,Santa Ana,California,credit
1006,05-30-2011,4009673,158.2,Air Sports,Air Suits,Overland Park,Kansas,credit
1007,07-28-2011,4002892,69.2,Outdoor Recreation,Golf,Everett,Washington,credit
1008,01-16-2011,4007927,71.22,Outdoor Play Equipment,Sandboxes,Everett,Washington,credit
1009,05-07-2011,4003567,142.94,Exercise & Fitness,Jump Ropes,Jersey City,New Jersey,credit
1010,02-24-2011,4006301,63.16,Water Sports,Water Polo,West Valley City,Utah,credit
1011,03-01-2011,4001763,147.42,Outdoor Play Equipment,Slides,Boise,Idaho,credit
1012,10-18-2011,4000231,148.39,Water Sports,Boating,St. Petersburg,Florida,credit
1013,03-10-2011,4002439,17.14,Winter Sports,Cross-Country Skiing,St. Louis  ,Missouri,credit
1014,08-24-2011,4002462,45.61,Outdoor Recreation,Skating,Berkeley,California,credit
1015,05-14-2011,4006996,65.74,Exercise & Fitness,Cardio Machine Accessories,Atlanta,Georgia,credit
1016,03-28-2011,4006458,190.83,Exercise & Fitness,Cardio Machines,Jackson,Mississippi,credit
1017,10-24-2011,4000497,178.11,Water Sports,Whitewater Rafting,Lexington,Kentucky,credit
1018,01-26-2011,4004138,15.51,Gymnastics,Pommel Horses,New York,New York,credit
1019,04-02-2011,4001695,164.26,Outdoor Recreation,Running,Phoenix,Arizona,credit
1020,08-07-2011,4009250,141.07,Team Sports,Beach Volleyball,Chattanooga,Tennessee,credit
1021,08-03-2011,4000775,68.63,Games,Board Games,Indianapolis ,Indiana,credit
1022,06-16-2011,4007926,150.02,Indoor Games,Air Hockey,Gilbert,Arizona,credit
1023,05-06-2011,4003040,42.68,Water Sports,Boating,Montgomery,Alabama,credit
1024,09-12-2011,4005149,151.75,Games,Dominoes,Portland,Oregon,credit
1025,05-01-2011,4003719,68.99,Exercise & Fitness,Cardio Machines,Santa Ana,California,credit
1026,09-11-2011,4004268,66.93,Exercise & Fitness,Foam Rollers,Columbus,Ohio,credit
1027,03-01-2011,4003576,134.67,Winter Sports,Snowmobiling,Plano,Texas,credit
1028,11-13-2011,4008373,131.05,Outdoor Recreation,Geocaching,Paterson,New Jersey,credit
1029,08-02-2011,4002206,34.69,Gymnastics,Springboards,Lincoln,Nebraska,credit
1030,12-21-2011,4005076,83.2,Winter Sports,Sledding,Colorado Springs,Colorado,credit
1031,09-20-2011,4000167,22.02,Games,Bingo Sets,Irving,Texas,credit
1032,09-05-2011,4009555,94.49,Team Sports,Basketball,Salt Lake City,Utah,credit
1033,10-23-2011,4003955,104.96,Jumping,Trampolines,Cincinnati,Ohio,credit
1034,10-24-2011,4004969,118.38,Exercise & Fitness,Yoga & Pilates,Phoenix,Arizona,credit
1035,03-10-2011,4001153,55.54,Winter Sports,Bobsledding,Durham,North Carolina,credit
1036,01-23-2011,4003172,132.18,Games,Portable Electronic Games,Reno,Nevada,credit
1037,08-29-2011,4004468,19.45,Outdoor Recreation,Fishing,Irvine,California,credit
1038,12-18-2011,4001951,155.82,Outdoor Recreation,Geocaching,Scottsdale,Arizona,credit
1039,06-26-2011,4009493,53.49,Water Sports,Life Jackets,Hartford,Connecticut,credit
1040,04-21-2011,4000512,161.72,Exercise & Fitness,Cardio Machines,Orange,California,credit
1041,01-05-2011,4002009,33.68,Combat Sports,Martial Arts,Oklahoma City,Oklahoma,cash
1042,03-25-2011,4001713,6.38,Jumping,Jumping Stilts,Baltimore,Maryland,cash
1043,04-24-2011,4004939,188.48,Racquet Sports,Squash,Dallas,Texas,credit
1044,10-09-2011,4003020,28.3,Combat Sports,Wrestling,West Valley City,Utah,cash
1045,08-18-2011,4002312,170.65,Exercise & Fitness,Weightlifting Machine Accessories,St. Petersburg,Florida,credit
